Channel,Source,HasVideo,DateTime,PicNum,URLNum
Editor's Pick,Yahoo Finance Video,1,2018-09-25T05:53:31.000Z,0,2
News,Yahoo Finance Video,0,2018-09-25T05:53:30.000Z,3,5
